ID,Calories_Burned
TEST_0000,173.35
TEST_0001,194.12
TEST_0002,52.01
TEST_0003,158.69
TEST_0004,220.99
TEST_0005,174.04
TEST_0006,97.97
TEST_0007,46.23
TEST_0008,79.99
TEST_0009,58.24
TEST_0010,127.82
TEST_0011,54.16
TEST_0012,13.16
TEST_0013,156.42
TEST_0014,213.98
TEST_0015,12.85
TEST_0016,100.17
TEST_0017,133.82
TEST_0018,159.72
TEST_0019,7.35
TEST_0020,51.64
TEST_0021,92.3
TEST_0022,26.62
TEST_0023,90.44
TEST_0024,20.68
TEST_0025,138.51
TEST_0026,100.22
TEST_0027,193.95
TEST_0028,123.31
TEST_0029,101.3
TEST_0030,25.19
TEST_0031,244.03
TEST_0032,56.55
TEST_0033,47.66
TEST_0034,126.95
TEST_0035,117.31
TEST_0036,35.74
TEST_0037,134.53
TEST_0038,11.2
TEST_0039,127.36
TEST_0040,205.04
TEST_0041,163.71
TEST_0042,146.93
TEST_0043,59.43
TEST_0044,65.36
TEST_0045,51.44
TEST_0046,77.28
TEST_0047,196.04
TEST_0048,139.56
TEST_0049,125.8
TEST_0050,10.77
TEST_0051,111.3
TEST_0052,158.04
TEST_0053,97.95
TEST_0054,68.85
TEST_0055,92.84
TEST_0056,166.99
TEST_0057,18.03
TEST_0058,32.16
TEST_0059,99.19
TEST_0060,39.32
TEST_0061,108.53
TEST_0062,89.05
TEST_0063,49.74
TEST_0064,34.46
TEST_0065,135.55
TEST_0066,231.64
TEST_0067,127.94
TEST_0068,98.42
TEST_0069,42.48
TEST_0070,125.52
TEST_0071,29.33
TEST_0072,9.03
TEST_0073,152.65
TEST_0074,32.66
TEST_0075,91.08
TEST_0076,64.06
TEST_0077,70.52
TEST_0078,42.0
TEST_0079,186.41
TEST_0080,174.7
TEST_0081,138.99
TEST_0082,91.74
TEST_0083,106.48
TEST_0084,56.94
TEST_0085,181.64
TEST_0086,129.96
TEST_0087,17.36
TEST_0088,146.41
TEST_0089,41.73
TEST_0090,40.36
TEST_0091,36.97
TEST_0092,25.38
TEST_0093,192.7
TEST_0094,6.02
TEST_0095,10.42
TEST_0096,239.25
TEST_0097,131.41
TEST_0098,190.15
TEST_0099,167.03
TEST_0100,13.6
TEST_0101,100.82
TEST_0102,194.38
TEST_0103,166.8
TEST_0104,62.35
TEST_0105,162.62
TEST_0106,36.07
TEST_0107,19.32
TEST_0108,189.1
TEST_0109,29.63
TEST_0110,108.95
TEST_0111,182.26
TEST_0112,47.22
TEST_0113,146.5
TEST_0114,56.7
TEST_0115,82.87
TEST_0116,79.24
TEST_0117,66.38
TEST_0118,14.17
TEST_0119,6.55
TEST_0120,178.73
TEST_0121,49.32
TEST_0122,41.76
TEST_0123,18.77
TEST_0124,32.15
TEST_0125,101.25
TEST_0126,46.66
TEST_0127,55.93
TEST_0128,107.06
TEST_0129,76.96
TEST_0130,59.51
TEST_0131,192.19
TEST_0132,68.05
TEST_0133,132.77
TEST_0134,106.74
TEST_0135,74.97
TEST_0136,74.01
TEST_0137,63.42
TEST_0138,171.55
TEST_0139,22.83
TEST_0140,115.87
TEST_0141,16.41
TEST_0142,110.3
TEST_0143,37.46
TEST_0144,11.95
TEST_0145,34.64
TEST_0146,161.01
TEST_0147,84.74
TEST_0148,121.97
TEST_0149,85.79
TEST_0150,43.04
TEST_0151,80.77
TEST_0152,70.19
TEST_0153,19.41
TEST_0154,96.52
TEST_0155,58.33
TEST_0156,131.38
TEST_0157,38.02
TEST_0158,191.61
TEST_0159,41.28
TEST_0160,132.82
TEST_0161,102.04
TEST_0162,117.26
TEST_0163,143.82
TEST_0164,59.01
TEST_0165,30.74
TEST_0166,42.83
TEST_0167,128.33
TEST_0168,204.9
TEST_0169,110.44
TEST_0170,73.74
TEST_0171,82.12
TEST_0172,5.73
TEST_0173,78.31
TEST_0174,15.63
TEST_0175,48.95
TEST_0176,9.99
