ID,Calories_Burned
TEST_0000,174.44979617385533
TEST_0001,195.7865110660815
TEST_0002,56.27223715097509
TEST_0003,161.46423122747765
TEST_0004,236.26108757072473
TEST_0005,177.11553073827164
TEST_0006,98.63108420690762
TEST_0007,44.517722597405715
TEST_0008,80.51873243311856
TEST_0009,60.22703313420271
TEST_0010,125.66508100246418
TEST_0011,54.810459876377045
TEST_0012,11.71976508710356
TEST_0013,179.7583913488113
TEST_0014,226.14449015290825
TEST_0015,13.073625782713236
TEST_0016,96.4767349814546
TEST_0017,131.63419246221886
TEST_0018,157.07089785804314
TEST_0019,7.0192180568930045
TEST_0020,48.83568661856806
TEST_0021,89.59998412873098
TEST_0022,25.705218342178206
TEST_0023,89.59998412873098
TEST_0024,15.685871091784739
TEST_0025,131.9907107013704
TEST_0026,104.34993691090651
TEST_0027,189.47287893968368
TEST_0028,119.77238343522765
TEST_0029,98.06987255591801
TEST_0030,22.277164520228514
TEST_0031,239.87986556371388
TEST_0032,53.989503970236406
TEST_0033,47.375682473349976
TEST_0034,131.63419246221886
TEST_0035,112.87516028066197
TEST_0036,37.641994465438856
TEST_0037,129.92623075336348
TEST_0038,10.124028789742221
TEST_0039,128.40921091190813
TEST_0040,198.61183877178132
TEST_0041,167.55525323940827
TEST_0042,144.96816978606137
TEST_0043,58.64625163074743
TEST_0044,65.57249724742893
TEST_0045,52.48280906718177
TEST_0046,77.46996505083109
TEST_0047,203.5186366251734
TEST_0048,139.95626295777657
TEST_0049,125.36150257946508
TEST_0050,10.8552731727336
TEST_0051,111.12348720337692
TEST_0052,160.48402590554554
TEST_0053,92.05509462977314
TEST_0054,69.82245717068841
TEST_0055,85.3226536222469
TEST_0056,164.66674585010455
TEST_0057,13.004697391826355
TEST_0058,32.97424104074037
TEST_0059,96.40374866249972
TEST_0060,37.4461112167892
TEST_0061,110.56643842719225
TEST_0062,89.59998412873098
TEST_0063,49.920035946113025
TEST_0064,32.29044160486796
TEST_0065,140.14750104840397
TEST_0066,231.1110969452869
TEST_0067,123.7704372571541
TEST_0068,101.30108864035057
TEST_0069,44.517722597405715
TEST_0070,126.33639896577033
TEST_0071,21.45828130168572
TEST_0072,9.153800788827793
TEST_0073,149.29846103750873
TEST_0074,29.217691339056373
TEST_0075,92.07989523639968
TEST_0076,63.593827367126536
TEST_0077,64.11323082962389
TEST_0078,41.75991380993448
TEST_0079,180.41463164216043
TEST_0080,170.2220358897695
TEST_0081,137.31550640099854
TEST_0082,92.38896951220565
TEST_0083,103.01335531542526
TEST_0084,56.4228185309146
TEST_0085,177.11553073827164
TEST_0086,128.40921091190813
TEST_0087,18.257756432829332
TEST_0088,145.6744254723781
TEST_0089,41.18302860670995
TEST_0090,42.34629646523548
TEST_0091,39.0548904089193
TEST_0092,20.115603714581628
TEST_0093,195.25043866821838
TEST_0094,4.998608667153301
TEST_0095,11.71976508710356
TEST_0096,235.39633197663588
TEST_0097,140.32675773922017
TEST_0098,188.29407551827185
TEST_0099,167.86535677209986
TEST_0100,13.56121494705319
TEST_0101,98.06987255591801
TEST_0102,180.5292678880789
TEST_0103,167.55525323940827
TEST_0104,64.0147371204069
TEST_0105,163.68777540699537
TEST_0106,37.4461112167892
TEST_0107,20.115603714581628
TEST_0108,186.1898762951227
TEST_0109,22.43530066922782
TEST_0110,110.91731487006818
TEST_0111,189.15480151679185
TEST_0112,49.42555390751614
TEST_0113,145.60141310152724
TEST_0114,56.9374297037264
TEST_0115,81.62490548857511
TEST_0116,78.79494777233452
TEST_0117,62.43738056108101
TEST_0118,16.825172201785925
TEST_0119,8.851646794442928
TEST_0120,186.1898762951227
TEST_0121,48.94554569973218
TEST_0122,41.258562885057906
TEST_0123,17.34720176635061
TEST_0124,34.59047960649711
TEST_0125,101.10223101622513
TEST_0126,49.42555390751614
TEST_0127,52.35340358461356
TEST_0128,104.50642580693383
TEST_0129,77.08234811741664
TEST_0130,57.96211381369152
TEST_0131,191.6556285938692
TEST_0132,70.75252493627082
TEST_0133,134.70203072402214
TEST_0134,103.58949687328668
TEST_0135,71.25253102596298
TEST_0136,70.75252493627082
TEST_0137,65.3814444901507
TEST_0138,179.85327198380224
TEST_0139,24.912034000896973
TEST_0140,123.7704372571541
TEST_0141,13.004697391826355
TEST_0142,111.12348720337692
TEST_0143,43.336333342667224
TEST_0144,10.8552731727336
TEST_0145,29.217691339056373
TEST_0146,164.72995898748985
TEST_0147,84.18640373127646
TEST_0148,119.74563065486551
TEST_0149,85.78147494460976
TEST_0150,38.46385768077025
TEST_0151,80.64799334484832
