ID,Calories_Burned
TEST_0000,175.56429
TEST_0001,190.29213
TEST_0002,51.60768
TEST_0003,161.07999
TEST_0004,223.02536
TEST_0005,179.40909
TEST_0006,98.30071
TEST_0007,45.589024
TEST_0008,80.70845
TEST_0009,58.42245
TEST_0010,123.254944
TEST_0011,56.216297
TEST_0012,13.488621
TEST_0013,172.1983
TEST_0014,221.3843
TEST_0015,13.230534
TEST_0016,101.95013
TEST_0017,134.62437
TEST_0018,160.05948
TEST_0019,7.091391
TEST_0020,49.62084
TEST_0021,91.19155
TEST_0022,24.912632
TEST_0023,89.77015
TEST_0024,20.290936
TEST_0025,129.38525
TEST_0026,101.5244
TEST_0027,187.62592
TEST_0028,121.42435
TEST_0029,100.79056
TEST_0030,25.378252
TEST_0031,239.67358
TEST_0032,53.613304
TEST_0033,44.8624
TEST_0034,131.99065
TEST_0035,115.95968
TEST_0036,38.20667
TEST_0037,129.0313
TEST_0038,10.89329
TEST_0039,131.91138
TEST_0040,204.03516
TEST_0041,168.75583
TEST_0042,147.15266
TEST_0043,56.821774
TEST_0044,68.72417
TEST_0045,51.735817
TEST_0046,80.62068
TEST_0047,198.17152
TEST_0048,140.97617
TEST_0049,122.48913
TEST_0050,12.28614
TEST_0051,109.95403
TEST_0052,158.88194
TEST_0053,92.22405
TEST_0054,66.50453
TEST_0055,89.35388
TEST_0056,165.3906
TEST_0057,17.320467
TEST_0058,32.503517
TEST_0059,95.55731
TEST_0060,39.888065
TEST_0061,112.26669
TEST_0062,91.99713
TEST_0063,49.126797
TEST_0064,34.233334
TEST_0065,134.36397
TEST_0066,231.88255
TEST_0067,125.744995
TEST_0068,98.327065
TEST_0069,42.063362
TEST_0070,127.71367
TEST_0071,28.268341
TEST_0072,9.190682
TEST_0073,153.94711
TEST_0074,33.856453
TEST_0075,88.600235
TEST_0076,63.432655
TEST_0077,66.762535
TEST_0078,43.795803
TEST_0079,183.83607
TEST_0080,168.87514
TEST_0081,133.3335
TEST_0082,92.84349
TEST_0083,104.158005
TEST_0084,56.67612
TEST_0085,179.91925
TEST_0086,128.09245
TEST_0087,16.476896
TEST_0088,141.86745
TEST_0089,41.486973
TEST_0090,38.312527
