ID,Calories_Burned
TEST_0000,174.78
TEST_0001,192.89
TEST_0002,52.72
TEST_0003,159.3
TEST_0004,219.05
TEST_0005,181.83
TEST_0006,95.59
TEST_0007,45.64
TEST_0008,81.96
TEST_0009,58.07
TEST_0010,126.27
TEST_0011,53.52
TEST_0012,12.53
TEST_0013,153.91
TEST_0014,216.95
TEST_0015,13.33
TEST_0016,100.69
TEST_0017,131.61
TEST_0018,160.9
TEST_0019,7.36
TEST_0020,50.93
TEST_0021,93.38
TEST_0022,27.08
TEST_0023,87.56
TEST_0024,20.57
TEST_0025,135.32
TEST_0026,105.67
TEST_0027,192.28
TEST_0028,121.38
TEST_0029,101.16
TEST_0030,24.18
TEST_0031,244.25
TEST_0032,56.66
TEST_0033,46.84
TEST_0034,124.87
TEST_0035,119.63
TEST_0036,35.61
TEST_0037,133.61
TEST_0038,11.27
TEST_0039,128.15
TEST_0040,205.74
TEST_0041,163.5
TEST_0042,146.47
TEST_0043,61.37
TEST_0044,64.5
TEST_0045,51.14
TEST_0046,75.39
TEST_0047,201.34
TEST_0048,139.08
TEST_0049,129.7
TEST_0050,10.78
TEST_0051,111.7
TEST_0052,160.31
TEST_0053,97.85
TEST_0054,67.66
TEST_0055,92.56
TEST_0056,168.61
TEST_0057,18.22
TEST_0058,31.66
TEST_0059,97.63
TEST_0060,38.53
TEST_0061,108.14
TEST_0062,89.39
TEST_0063,49.54
TEST_0064,33.72
TEST_0065,136.55
TEST_0066,232.75
TEST_0067,126.75
TEST_0068,98.36
TEST_0069,42.94
TEST_0070,127.68
TEST_0071,29.52
TEST_0072,9.03
TEST_0073,154.04
TEST_0074,32.84
TEST_0075,90.37
TEST_0076,65.27
TEST_0077,69.84
TEST_0078,41.62
TEST_0079,181.66
TEST_0080,171.41
TEST_0081,141.57
TEST_0082,97.1
TEST_0083,105.72
TEST_0084,57.85
TEST_0085,180.26
TEST_0086,130.43
TEST_0087,17.35
TEST_0088,148.15
TEST_0089,41.03
TEST_0090,40.37
TEST_0091,37.53
TEST_0092,24.69
TEST_0093,188.7
TEST_0094,6.14
TEST_0095,10.49
TEST_0096,242.29
TEST_0097,127.03
TEST_0098,189.58
TEST_0099,168.93
TEST_0100,13.13
TEST_0101,101.51
TEST_0102,193.95
