ID,Calories_Burned
TEST_0000,174.16
TEST_0001,191.9
TEST_0002,52.21
TEST_0003,158.28
TEST_0004,217.8
TEST_0005,181.65
TEST_0006,95.8
TEST_0007,45.0
TEST_0008,82.0
TEST_0009,58.56
TEST_0010,127.26
TEST_0011,53.13
TEST_0012,12.65
TEST_0013,155.04
TEST_0014,215.65
TEST_0015,13.29
TEST_0016,100.28
TEST_0017,130.49
TEST_0018,161.45
TEST_0019,7.22
TEST_0020,50.98
TEST_0021,91.82
TEST_0022,27.9
TEST_0023,88.26
TEST_0024,20.5
TEST_0025,135.26
TEST_0026,103.19
TEST_0027,192.47
TEST_0028,123.23
TEST_0029,100.77
TEST_0030,24.4
TEST_0031,241.74
TEST_0032,56.55
TEST_0033,47.68
TEST_0034,124.17
TEST_0035,120.2
TEST_0036,36.02
TEST_0037,135.11
TEST_0038,11.49
TEST_0039,128.66
TEST_0040,208.88
TEST_0041,164.12
TEST_0042,146.72
TEST_0043,60.37
TEST_0044,64.69
TEST_0045,51.14
TEST_0046,75.0
TEST_0047,200.62
TEST_0048,138.42
TEST_0049,130.97
TEST_0050,10.7
TEST_0051,111.78
TEST_0052,161.98
TEST_0053,98.03
TEST_0054,68.28
TEST_0055,92.68
TEST_0056,168.26
TEST_0057,18.09
TEST_0058,32.45
TEST_0059,96.77
TEST_0060,39.71
TEST_0061,106.42
TEST_0062,89.94
TEST_0063,50.06
TEST_0064,34.35
TEST_0065,136.86
TEST_0066,232.83
TEST_0067,126.51
TEST_0068,98.34
TEST_0069,42.22
TEST_0070,126.27
TEST_0071,28.82
TEST_0072,8.9
TEST_0073,153.43
TEST_0074,33.01
TEST_0075,91.73
TEST_0076,64.58
TEST_0077,70.96
TEST_0078,42.7
TEST_0079,185.4
TEST_0080,170.11
TEST_0081,144.6
TEST_0082,96.43
TEST_0083,105.85
TEST_0084,58.3
TEST_0085,180.53
TEST_0086,129.59
TEST_0087,17.28
TEST_0088,147.28
TEST_0089,40.62
TEST_0090,40.13
TEST_0091,37.43
TEST_0092,25.19
TEST_0093,189.91
TEST_0094,6.16
TEST_0095,10.6
TEST_0096,241.77
TEST_0097,126.42
TEST_0098,192.53
TEST_0099,171.04
TEST_0100,13.3
TEST_0101,100.17
TEST_0102,194.44
TEST_0103,170.75
TEST_0104,60.45
TEST_0105,163.61
TEST_0106,36.48
TEST_0107,20.16
TEST_0108,189.27
TEST_0109,29.61
TEST_0110,113.82
TEST_0111,183.74
TEST_0112,45.86
TEST_0113,146.41
TEST_0114,56.43
TEST_0115,83.07
TEST_0116,79.72
TEST_0117,63.99
TEST_0118,14.39
TEST_0119,6.88
TEST_0120,180.21
TEST_0121,49.29
TEST_0122,41.43
TEST_0123,19.1
TEST_0124,31.97
TEST_0125,101.35
TEST_0126,46.91
TEST_0127,56.62
TEST_0128,106.21
TEST_0129,77.22
TEST_0130,59.72
TEST_0131,195.37
TEST_0132,68.31
TEST_0133,134.55
TEST_0134,109.17
TEST_0135,73.92
TEST_0136,75.67
TEST_0137,64.02
TEST_0138,166.4
TEST_0139,22.75
TEST_0140,111.27
TEST_0141,16.33
TEST_0142,111.31
TEST_0143,38.91
TEST_0144,11.59
TEST_0145,33.81
TEST_0146,158.73
TEST_0147,84.39
TEST_0148,120.15
TEST_0149,86.32
TEST_0150,41.97
TEST_0151,81.78
TEST_0152,68.58
TEST_0153,19.61
TEST_0154,96.67
TEST_0155,56.6
TEST_0156,134.08
TEST_0157,37.6
TEST_0158,195.74
TEST_0159,41.44
TEST_0160,132.22
TEST_0161,101.76
TEST_0162,117.48
