,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
26,1,357,0.14131531715393067,0.0005720123444906441,0.009374570846557618,0.0076543050438790325,,,,3,{'min_samples_split': 3},0.9436619718309859,0.9014084507042254,0.9154929577464789,1.0,0.9577464788732394,0.9436619718309858,0.03449985553215743,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,1,357,0.14125642776489258,0.0012821674479925377,0.006249713897705078,0.007654305045364299,,12,,,{'max_depth': 12},0.9154929577464789,0.8873239436619719,0.9295774647887324,1.0,0.971830985915493,0.9408450704225352,0.0402333995974245,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,1,357,0.1385800361633301,0.00775728959215356,0.012498998641967773,0.0062494993253043325,,10,,,{'max_depth': 10},0.971830985915493,0.8732394366197183,0.8873239436619719,1.0,0.9577464788732394,0.9380281690140844,0.0492756498155941,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,1,357,0.43872294425964353,0.005570889095997603,0.03056330680847168,0.005362518104220414,300,,,,{'n_estimators': 300},0.9295774647887324,0.8732394366197183,0.9154929577464789,1.0,0.9577464788732394,0.9352112676056338,0.04234731374189553,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1,357,0.14502406120300293,0.005579409975103396,0.0062999725341796875,0.00517227948611666,,8,,,{'max_depth': 8},0.9295774647887324,0.8873239436619719,0.8873239436619719,1.0,0.9577464788732394,0.932394366197183,0.0430903057486714,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,1,357,0.14940524101257324,0.006421628615559308,0.006249713897705078,0.0076543050438790325,100,,,,{'n_estimators': 100},0.9577464788732394,0.8732394366197183,0.9014084507042254,0.971830985915493,0.9577464788732394,0.932394366197183,0.03821030976408602,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,1,357,0.13879890441894532,0.00417683928948483,0.012498712539672852,0.0062493562759761475,100,,,,{'n_estimators': 100},0.9014084507042254,0.8873239436619719,0.9014084507042254,1.0,0.9436619718309859,0.9267605633802816,0.041207715037543065,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,1,357,0.12811565399169922,0.006249547016296605,0.012499618530273437,0.0062498092815081235,,6,,,{'max_depth': 6},0.9577464788732394,0.8732394366197183,0.9014084507042254,0.9436619718309859,0.9577464788732394,0.9267605633802816,0.03380281690140844,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0,102,0.11561708450317383,0.0076537210533834535,0.009373950958251952,0.007653798913633482,100,,,,{'n_estimators': 100},0.95,0.95,0.8,0.85,0.9,0.89,0.05830951894845298,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0,102,0.11102147102355957,0.0020254616768011512,0.01562347412109375,3.5683225505580346e-07,,12,,,{'max_depth': 12},0.9,0.95,0.8,0.75,0.95,0.8700000000000001,0.08124038404635958,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,102,0.1185915470123291,0.002354912814255605,0.00826559066772461,0.004179935763706643,,6,,,{'max_depth': 6},0.85,0.9,0.75,0.8,0.95,0.85,0.07071067811865474,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,102,0.12561368942260742,0.003013744155132079,0.008718156814575195,0.003076970041291161,,10,,,{'max_depth': 10},0.8,0.9,0.75,0.8,1.0,0.85,0.08944271909999157,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0,102,0.1150439739227295,0.0069349258842200485,0.009373855590820313,0.007653721057839594,,8,,,{'max_depth': 8},0.85,1.0,0.75,0.7,0.95,0.85,0.1140175425099138,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,102,0.3700777530670166,0.007517191864917678,0.03206124305725098,0.005808544454477968,300,,,,{'n_estimators': 300},0.9,0.9,0.7,0.75,0.95,0.8400000000000001,0.09695359714832659,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0,102,0.11561689376831055,0.007653876786756682,0.006249237060546875,0.007653721040015035,,,,3,{'min_samples_split': 3},0.8,0.95,0.75,0.75,0.95,0.8400000000000001,0.09165151389911677,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,102,0.13412322998046874,0.00406717198639586,0.010993766784667968,0.0006323343541912204,100,,,,{'n_estimators': 100},0.9,0.9,0.75,0.65,1.0,0.8399999999999999,0.12409673645990857,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0,102,0.11776642799377442,0.006788786484438307,0.005891656875610352,0.006599598971902003,,6,,,{'max_depth': 6},0.85,0.8,0.75,0.75,1.0,0.8300000000000001,0.09273618495495704,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0,102,0.26045594215393064,0.010259442486625563,0.020188140869140624,0.002134470402959873,200,,,,{'n_estimators': 200},0.85,0.9,0.7,0.75,0.95,0.8300000000000001,0.09273618495495704,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0,102,0.4499488830566406,0.010076575239836957,0.03932962417602539,0.007842712609495343,400,,,,{'n_estimators': 400},0.8,0.95,0.7,0.75,0.95,0.8300000000000001,0.10295630140987,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0,102,0.11561722755432129,0.007653993587529293,0.006249523162841797,0.007654071443818745,,,,2,{'min_samples_split': 2},0.85,0.9,0.75,0.75,0.9,0.8300000000000001,0.0678232998312527,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,102,0.11104779243469239,0.007512255333993244,0.009374237060546875,0.007654032512208246,,,,2,{'min_samples_split': 2},0.85,0.95,0.65,0.75,0.95,0.8299999999999998,0.11661903789690597,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,102,0.11648416519165039,0.006086669074499081,0.00674734115600586,0.006058084944754535,,15,,,{'max_depth': 15},0.8,0.95,0.7,0.7,0.95,0.8200000000000001,0.11224972160321824,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0,102,0.11854972839355468,0.004963387103494409,0.01035451889038086,0.005235768918319824,,12,,,{'max_depth': 12},0.85,0.9,0.75,0.7,0.9,0.8200000000000001,0.08124038404635962,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0,102,0.11252713203430176,0.005202203167658238,0.011372709274291992,0.0060898802645832735,,,,10,{'min_samples_split': 10},0.9,0.9,0.7,0.65,0.95,0.82,0.12083045973594571,24,1.0,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9901234567901234,0.004938271604938294
