index,quality
0,5
1,3
2,3
3,5
4,6
5,6
6,3
7,6
8,6
9,3
10,6
11,6
12,7
13,6
14,5
15,5
16,6
17,7
18,5
19,5
20,6
21,3
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,5
30,7
31,6
32,3
33,6
34,5
35,5
36,5
37,5
38,6
39,3
40,3
41,3
42,3
43,6
44,3
45,6
46,5
47,3
48,5
49,6
50,5
51,5
52,6
53,3
54,5
55,6
56,6
57,5
58,5
59,6
60,5
61,6
62,5
63,6
64,3
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,6
74,6
75,5
76,3
77,6
78,3
79,7
80,3
81,6
82,5
83,4
84,3
85,6
86,5
87,5
88,6
89,7
90,3
91,6
92,6
93,6
94,6
95,7
96,6
97,3
98,6
99,3
100,5
101,5
102,6
103,5
104,6
105,3
106,6
107,6
108,7
109,3
110,7
111,7
112,6
113,5
114,4
115,3
116,6
117,7
118,6
119,6
120,6
121,5
122,6
123,3
124,5
125,5
126,3
127,6
128,6
129,7
130,6
131,5
132,3
133,5
134,5
135,3
136,6
137,7
138,5
139,5
140,5
141,6
142,5
143,5
144,5
145,5
146,7
147,6
148,3
149,6
150,5
151,8
152,6
153,5
154,6
155,5
156,5
157,5
158,6
159,5
160,5
161,6
162,6
163,7
164,3
165,3
166,6
167,6
168,5
169,5
170,3
171,5
172,6
173,5
174,3
175,3
176,6
177,5
178,6
179,3
180,6
181,6
182,7
183,7
184,5
185,6
186,6
187,6
188,5
189,6
190,3
191,3
192,3
193,3
194,5
195,6
196,3
197,5
198,5
199,5
200,6
201,5
202,6
203,6
204,3
205,6
206,6
207,6
208,6
209,6
210,7
211,5
212,3
213,5
214,3
215,6
216,5
217,6
218,6
219,3
220,6
221,3
222,6
223,6
224,7
225,6
226,6
227,5
228,6
229,5
230,3
231,7
232,7
233,3
234,6
235,3
236,5
237,6
238,6
239,7
240,6
241,6
242,6
243,6
244,7
245,3
246,6
247,7
248,5
249,6
250,3
251,6
252,6
253,7
254,6
255,6
256,6
257,3
258,7
259,6
260,7
261,6
262,5
263,7
264,5
265,5
266,6
267,5
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,7
277,7
278,5
279,6
280,6
281,6
282,6
283,5
284,7
285,7
286,3
287,6
288,6
289,6
290,5
291,5
292,5
293,6
294,5
295,7
296,8
297,5
298,5
299,7
300,3
301,5
302,5
303,5
304,6
305,7
306,5
307,7
308,5
309,5
310,6
311,5
312,3
313,5
314,6
315,3
316,5
317,5
318,6
319,5
320,5
321,5
322,6
323,5
324,4
325,5
326,5
327,3
328,6
329,6
330,5
331,7
332,6
333,5
334,5
335,6
336,5
337,6
338,6
339,3
340,6
341,3
342,3
343,6
344,5
345,6
346,5
347,8
348,5
349,6
350,5
351,6
352,5
353,6
354,6
355,5
356,3
357,6
358,5
359,6
360,5
361,6
362,5
363,7
364,7
365,3
366,5
367,3
368,7
369,5
370,6
371,5
372,5
373,5
374,3
