index,quality
0,6
1,6
2,6
3,5
4,6
5,6
6,5
7,6
8,6
9,7
10,6
11,6
12,5
13,5
14,5
15,6
16,6
17,6
18,5
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,6
30,7
31,6
32,5
33,5
34,5
35,6
36,5
37,5
38,6
39,5
40,5
41,5
42,5
43,6
44,6
45,7
46,6
47,5
48,4
49,6
50,5
51,5
52,5
53,5
54,6
55,5
56,5
57,6
58,6
59,6
60,5
61,6
62,5
63,4
64,6
65,6
66,5
67,6
68,6
69,5
70,5
71,5
72,5
73,6
74,6
75,6
76,5
77,7
78,7
79,7
80,6
81,6
82,5
83,5
84,7
85,6
86,5
87,6
88,6
89,7
90,7
91,6
92,5
93,6
94,7
95,7
96,5
97,6
98,6
99,7
100,5
101,5
102,5
103,5
104,6
105,6
106,6
107,6
108,6
109,5
110,6
111,7
112,6
113,5
114,5
115,5
116,6
117,7
118,6
119,6
120,7
121,5
122,6
123,7
124,5
125,5
126,7
127,6
128,5
129,6
130,5
131,5
132,5
133,5
134,5
135,6
136,6
137,7
138,6
139,6
140,5
141,6
142,5
143,5
144,6
145,6
146,7
147,6
148,7
149,6
150,5
151,6
152,6
153,5
154,6
155,5
156,6
157,5
158,6
159,5
160,6
161,6
162,6
163,6
164,6
165,6
166,5
167,6
168,5
169,5
170,5
171,5
172,6
173,5
174,5
175,5
176,5
177,5
178,6
179,6
180,6
181,6
182,7
183,7
184,6
185,6
186,5
187,6
188,5
189,5
190,6
191,5
192,5
193,6
194,6
195,5
196,7
197,5
198,5
199,5
200,5
201,5
202,6
203,5
204,6
205,6
206,6
207,5
208,6
209,6
210,7
211,5
212,5
213,5
214,6
215,6
216,6
217,6
218,6
219,6
220,5
221,5
222,6
223,6
224,6
225,5
226,6
227,5
228,6
229,5
230,6
231,7
232,7
233,5
234,6
235,6
236,6
237,7
238,6
239,6
240,6
241,6
242,7
243,6
244,7
245,6
246,6
247,7
248,5
249,6
250,5
251,6
252,7
253,7
254,6
255,6
256,6
257,6
258,8
259,6
260,7
261,5
262,6
263,6
264,6
265,5
266,6
267,5
268,5
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,5
277,7
278,5
279,6
280,6
281,6
282,6
283,6
284,7
285,6
286,6
287,7
288,5
289,6
290,5
291,5
292,6
293,7
294,5
295,7
296,8
297,5
298,5
299,5
300,6
301,6
302,6
303,5
304,6
305,7
306,5
307,7
308,5
309,6
310,6
311,5
312,5
313,6
314,6
315,6
316,5
317,6
318,5
319,6
320,5
321,6
322,6
323,5
324,5
325,5
326,6
327,6
328,6
329,6
330,6
331,7
332,6
333,5
334,5
335,6
336,5
337,6
338,6
339,5
340,6
341,6
342,5
343,6
344,5
345,6
346,5
347,6
348,5
349,6
350,5
351,6
352,4
353,7
354,6
355,5
356,6
357,6
358,4
359,6
360,4
361,6
362,6
363,6
364,6
365,7
366,5
367,6
368,6
369,6
370,6
371,5
372,4
373,5
374,5
375,5
376,5
377,6
378,6
379,6
380,6
381,6
382,7
383,6
384,5
385,5
386,6
387,5
388,6
389,6
390,7
391,6
392,7
393,6
394,5
395,6
396,5
397,6
398,6
399,5
400,7
401,6
402,6
403,6
404,7
405,5
406,6
407,5
408,6
409,6
410,6
411,5
412,6
413,5
414,6
415,6
416,6
417,6
418,5
419,6
420,7
421,6
422,5
423,6
424,5
425,6
426,6
427,6
428,5
429,6
430,7
431,6
432,5
433,7
434,8
435,4
436,6
437,6
438,5
439,5
440,5
441,7
442,6
443,6
444,6
445,6
446,5
447,5
448,6
449,6
450,5
451,5
452,6
453,6
454,5
455,5
456,7
457,6
458,5
459,6
460,5
461,7
462,6
463,5
464,5
465,6
466,6
467,5
468,6
469,5
470,5
471,5
472,4
473,5
474,5
475,6
476,6
477,7
478,7
479,6
480,7
481,7
482,6
483,5
484,8
485,5
486,5
487,6
488,5
489,7
490,5
491,6
492,5
493,7
494,5
495,6
496,5
497,6
498,5
499,6
500,6
501,5
502,7
503,7
504,6
505,5
506,6
507,6
508,6
509,7
510,5
511,3
512,5
513,6
514,6
515,6
516,5
517,6
518,7
519,5
520,5
521,5
522,6
523,6
524,6
525,5
526,6
527,6
528,7
529,6
530,5
531,5
532,6
533,6
534,7
535,6
536,6
537,6
538,5
539,5
540,5
541,5
542,6
543,6
544,6
545,6
546,7
547,5
548,6
549,6
550,6
551,6
552,6
553,6
554,5
555,6
556,5
557,6
558,5
559,5
560,5
561,5
562,5
563,6
564,6
565,6
566,6
567,8
568,5
569,4
570,5
571,5
572,6
573,7
574,6
575,5
576,6
577,6
578,5
579,6
580,7
581,6
582,6
583,5
584,6
585,7
586,6
587,7
588,6
589,6
590,7
591,6
592,6
593,6
594,5
595,5
596,5
597,6
598,5
599,6
600,6
601,7
602,6
603,6
604,5
605,6
606,6
607,5
608,7
609,6
610,6
611,6
612,7
613,5
614,6
615,6
616,5
617,5
618,7
619,5
620,7
621,5
622,6
623,6
624,5
625,6
626,5
627,6
628,5
629,5
630,6
631,5
632,6
633,5
634,5
635,7
636,6
637,6
638,7
639,5
640,5
641,6
642,6
643,5
644,6
645,5
646,6
647,6
648,6
649,5
650,6
651,6
652,7
653,7
654,6
655,5
656,6
657,6
658,6
659,5
660,7
661,6
662,6
663,5
664,6
665,5
666,6
667,6
668,6
669,6
670,6
671,6
672,6
673,6
674,5
675,6
676,5
677,5
678,7
679,6
680,6
681,6
