Id,SalePrice
1461,87321.42
1462,25501.63
1463,168268.38
1464,192240.05
1465,170202.44
1466,175236.06
1467,
1468,170618.67
1469,187702.38
1470,97059.28
1471,186209.47
1472,79347.91
1473,74388.98
1474,136901.97
1475,74109.68
1476,333405.62
1477,230325.75
1478,303788.25
1479,302122.25
1480,416636.44
1481,285417.0
1482,200694.03
1483,165146.47
1484,148722.12
1485,200607.16
1486,207117.0
1487,300491.62
1488,227081.6
1489,189418.03
1490,231562.8
1491,206156.52
1492,61552.54
1493,214615.78
1494,283245.72
1495,253902.53
1496,220739.0
1497,149281.19
1498,164856.03
1499,161907.34
1500,160613.98
1501,
1502,
1503,276757.25
1504,244947.42
1505,224207.56
1506,
1507,238832.81
1508,
1509,139115.84
1510,147162.31
1511,142625.81
1512,166988.98
1513,
1514,
1515,183889.52
1516,150718.78
1517,142491.22
1518,106211.72
1519,206724.9
1520,
1521,106683.44
1522,186160.62
1523,68682.805
1524,94612.05
1525,73065.61
1526,66463.555
1527,89668.445
1528,116724.44
1529,122097.27
1530,200691.92
1531,156282.02
1532,
1533,151450.06
1534,118446.055
1535,156894.53
1536,
1537,78815.45
1538,137723.12
1539,197141.11
1540,
1541,138647.05
1542,108259.086
1543,
1544,51967.312
1545,70858.26
1546,142015.78
1547,141995.03
1548,91916.625
1549,95116.33
1550,123175.21
1551,116464.734
1552,147226.06
1553,
1554,89917.12
1555,159178.39
1556,49780.83
1557,
1558,83580.81
1559,
1560,127878.016
1561,
1562,141042.11
1563,113447.17
1564,
1565,150767.19
1566,
1567,66804.46
1568,
1569,142901.47
1570,130588.41
1571,89757.97
1572,115452.91
1573,213012.7
1574,
1575,233713.38
1576,272271.03
1577,173711.16
1578,146849.06
1579,112942.03
1580,
1581,144213.81
1582,114386.375
1583,279223.4
1584,214899.6
1585,
1586,26546.28
1587,76935.49
1588,122279.16
1589,91676.79
1590,127782.37
1591,
1592,129424.305
1593,
1594,
1595,
1596,200545.9
1597,163772.14
1598,176982.9
1599,153586.34
1600,167140.62
1601,20294.201
1602,104001.23
1603,63126.598
1604,252980.78
1605,240440.97
1606,159985.81
1607,
1608,236557.08
1609,174655.22
1610,149804.4
1611,135457.77
1612,185129.17
1613,
1614,122939.84
1615,
1616,
1617,55064.79
1618,99811.25
1619,132906.62
1620,169156.39
1621,127527.984
1622,144484.84
1623,255189.34
1624,239435.28
1625,93775.34
1626,187307.75
1627,183452.56
1628,
1629,157668.34
1630,264766.03
1631,190910.33
1632,189887.75
1633,173038.98
1634,184449.19
1635,
1636,157224.47
1637,205647.56
1638,
1639,163721.28
1640,
1641,161815.77
1642,253983.52
1643,
1644,
1645,
1646,165981.4
1647,151388.73
1648,
1649,
1650,103155.984
1651,113321.484
1652,85676.0
1653,80212.1
1654,138911.66
1655,128242.516
1656,132732.08
1657,145801.94
1658,136723.03
1659,79473.59
1660,
1661,406201.22
1662,324843.3
1663,355493.0
1664,401779.66
1665,306357.7
1666,310179.34
1667,344477.84
1668,342123.03
1669,296764.62
1670,326580.25
1671,269538.12
1672,364544.62
1673,287764.44
1674,253232.27
1675,204313.69
1676,207941.22
1677,204964.47
1678,406319.44
1679,341752.38
1680,292259.3
1681,253995.38
1682,299106.8
1683,175035.3
1684,186208.97
1685,201624.38
1686,159113.58
1687,185820.16
1688,208135.38
1689,209168.1
1690,
1691,
1692,
1693,171403.97
1694,183178.17
1695,155721.19
1696,
1697,157937.92
1698,296272.66
1699,
1700,240419.19
1701,
1702,248128.36
1703,247382.72
1704,274639.06
1705,272942.34
1706,370078.06
1707,
1708,206733.27
1709,278494.5
1710,225301.56
1711,284751.1
1712,246640.38
1713,268178.94
1714,208348.89
1715,204064.08
1716,184912.33
1717,184524.06
1718,
1719,215494.38
1720,239428.4
1721,182494.22
1722,
1723,171600.5
1724,203541.53
1725,233714.08
