id,count
0,86.177315
1,261.01895
2,8.579382
4,81.47725
5,0.33254787
10,117.62095
11,133.03923
12,236.24147
15,63.07803
17,18.529692
18,247.14183
23,239.06602
25,157.40126
26,65.0842
31,205.71146
39,211.32796
40,52.17611
41,143.96602
42,242.88419
43,182.36644
51,234.39076
52,66.45477
54,73.449486
60,154.3233
61,199.02155
62,144.18234
63,48.791786
65,124.54934
66,104.4472
68,177.49094
71,48.976944
80,79.497734
82,76.36728
94,190.95293
98,225.24176
101,40.38268
102,164.48012
107,119.309135
112,256.47592
113,36.969166
115,32.485542
116,156.53868
120,82.75809
121,42.442833
122,246.41345
132,176.89178
143,54.483192
147,61.443333
150,62.09959
151,54.743763
152,221.26057
153,76.62274
155,36.54376
156,125.18778
159,207.2387
161,79.40658
163,72.99405
177,172.65207
186,76.11022
188,64.93599
190,74.90907
191,95.500175
192,184.08063
195,235.87341
200,189.5665
209,224.59949
210,47.823853
211,243.90483
214,160.84436
215,70.7821
218,165.69405
219,38.96674
222,90.136826
225,59.74697
228,258.08368
236,229.30452
241,72.962135
242,186.04504
243,256.3536
245,65.81581
247,240.64758
251,191.10992
252,78.12265
253,58.379124
254,74.58703
258,231.82394
260,57.301792
261,192.92677
265,61.974518
266,216.09505
267,180.63805
269,164.44615
270,71.944046
275,156.34608
278,69.23379
279,49.092983
286,93.448616
287,61.898506
288,226.07103
289,195.46765
293,76.075325
294,190.02168
297,2.2083569
302,73.5207
303,23.442719
304,30.720896
307,122.26295
309,55.257675
311,221.85687
312,109.15109
314,220.81439
315,242.01045
319,207.143
322,150.44121
323,65.22531
325,209.93765
327,222.20859
330,55.57396
332,216.0712
333,72.89152
338,149.57819
341,47.01044
345,146.55992
348,162.4814
349,82.385574
350,107.618
352,47.400055
355,52.19904
356,196.58203
358,57.154938
363,175.72997
369,206.57246
371,63.59047
372,207.54868
375,240.72801
380,178.92216
388,75.14264
391,199.0646
392,170.74782
393,235.75401
394,87.76769
396,57.24144
401,63.012054
407,56.219143
409,70.959206
410,130.49124
416,95.806366
418,107.31969
420,199.82227
421,235.74709
422,205.01859
424,256.93893
428,186.04974
429,231.9298
431,143.66722
435,7.194411
439,97.27045
441,22.487417
447,63.966873
449,196.35693
451,227.18723
452,70.11297
454,151.94237
458,234.88939
463,181.81047
467,60.275623
470,126.66539
471,145.1177
474,223.53929
478,74.148834
483,108.85437
484,191.66437
485,69.726234
486,180.85611
491,82.12406
494,74.64535
495,166.17155
497,188.86205
499,216.64474
515,141.55592
518,197.72075
521,90.38303
525,218.3078
529,208.47954
532,162.5267
534,62.05511
540,69.61619
544,257.88266
547,193.62352
549,78.43372
563,51.127544
564,222.53818
567,89.2656
572,151.35973
577,176.34563
578,253.44144
585,213.70793
588,212.33737
589,173.92308
590,116.87891
592,68.974365
594,138.21397
596,70.01171
598,216.04315
599,186.32848
605,76.135666
606,157.9801
607,186.44739
608,213.6079
609,69.88098
610,210.2801
611,92.79421
614,186.9997
615,180.25894
616,211.78125
617,156.68227
618,189.17662
624,108.70192
629,184.6035
631,80.26364
633,80.10873
637,68.88327
638,135.67409
643,54.326546
644,189.39201
645,56.813675
646,171.80783
648,165.03902
650,72.2563
651,100.19089
652,246.16594
656,167.71541
657,75.60513
659,70.28573
660,177.18837
662,139.30693
665,225.98982
675,247.12526
681,163.75298
682,188.35347
685,64.69781
686,218.5129
689,63.66736
696,152.25177
703,179.60515
704,103.939224
705,165.21515
714,197.59724
717,77.1615
718,75.09818
720,74.79554
721,249.7701
723,215.70367
726,76.13513
728,201.21419
730,99.86199
731,71.55573
734,259.93524
737,54.471066
738,72.660904
745,190.55212
746,77.174355
749,192.09543
752,70.64213
753,71.29257
758,199.83585
765,72.70922
766,239.18799
768,57.090477
769,220.27321
774,181.11485
775,105.75146
781,41.037487
784,223.7024
794,88.96118
795,244.7668
796,63.007183
802,111.81747
803,91.149284
805,66.95749
806,225.82214
807,136.79756
809,58.280632
810,220.96329
812,86.91101
814,109.96181
818,202.09995
819,245.84108
825,17.682358
836,7.546236
839,181.97473
847,238.18204
848,89.07922
851,184.46912
852,170.92436
853,48.58825
857,192.76414
858,75.86975
859,211.02719
861,9.179192
867,162.79536
870,148.33739
871,221.63943
872,250.1307
874,259.94492
881,241.92671
886,167.7328
890,50.24867
895,179.88194
899,60.296818
900,215.99089
901,233.27563
902,220.71669
903,76.51128
913,252.4579
918,244.48642
923,170.07188
924,61.8451
926,58.607143
927,74.08246
930,176.19472
934,54.43331
937,160.99463
939,148.94604
941,85.25929
942,251.04567
946,202.16199
950,136.52866
953,75.231606
959,27.530336
961,53.00193
962,82.968124
964,110.924095
969,126.25279
971,152.55702
976,63.8775
978,211.75815
980,208.18115
981,196.23555
990,239.16605
993,61.419853
996,71.92975
998,232.36792
999,203.5055
1006,151.19783
1008,64.78582
1013,76.74526
1015,122.945366
1016,172.66286
1022,239.21408
1026,184.41702
1028,238.75143
1031,37.03397
1034,63.223614
1037,219.27448
1040,78.89371
1042,71.55437
1046,89.72415
1048,115.63741
1049,147.76949
1050,71.31381
1051,220.97691
1052,216.73582
1055,92.297455
1060,165.9964
1064,87.1117
1066,61.763863
1071,186.78311
1073,69.81246
1089,226.61713
1091,124.38136
1092,65.369156
1093,225.57301
1096,214.43913
1097,195.10815
1098,61.56385
1099,70.41386
1102,231.75385
1107,93.32297
1109,74.878784
1111,39.873566
1112,130.28856
1114,269.67804
1116,224.84021
1117,172.65697
1118,75.57219
1122,184.68814
1124,191.19472
1127,88.18937
1133,218.98833
1134,64.83065
1135,149.04404
1139,203.69263
1143,64.54897
1150,98.901924
1151,118.68112
1153,229.81769
1155,65.73476
1162,64.8601
1163,189.77028
1166,16.45159
1171,67.59597
1172,57.244766
1173,238.20872
1174,87.366425
1177,105.58192
1178,117.941055
1184,80.19667
1185,123.334656
1186,88.97775
1187,210.35425
1188,247.22887
1191,181.86267
1207,122.53923
1213,81.2161
1215,197.9799
1223,230.09396
1227,135.99556
1236,57.60254
1237,42.590466
1238,89.82555
1241,54.084057
1248,74.96902
1250,62.379314
1251,208.09068
1253,106.89976
1255,146.4858
1257,226.77711
1261,112.42568
