ID,전화해지여부
TEST_00000,0.13291891
TEST_00001,0.12542066
TEST_00002,0.15606153
TEST_00003,0.17544465
TEST_00004,0.112116255
TEST_00005,0.080590844
TEST_00006,0.124468625
TEST_00007,0.19049422
TEST_00008,0.07871801
TEST_00009,0.17756504
TEST_00010,0.107989766
TEST_00011,0.27863795
TEST_00012,0.06413048
TEST_00013,0.18053494
TEST_00014,0.05345226
TEST_00015,0.1811152
TEST_00016,0.14258559
TEST_00017,0.113543324
TEST_00018,0.09376106
TEST_00019,0.062471338
TEST_00020,0.12504643
TEST_00021,0.14278638
TEST_00022,0.14942558
TEST_00023,0.08646614
TEST_00024,0.13090715
TEST_00025,0.28157005
TEST_00026,0.058232956
TEST_00027,0.15216629
TEST_00028,0.17328346
TEST_00029,0.15117197
TEST_00030,0.16539375
TEST_00031,0.105732076
TEST_00032,0.2274293
TEST_00033,0.05073218
TEST_00034,0.09880748
TEST_00035,0.0729067
TEST_00036,0.11744135
TEST_00037,0.16398045
TEST_00038,0.06831774
TEST_00039,0.093862005
TEST_00040,0.09923895
TEST_00041,0.092158094
TEST_00042,0.17042501
TEST_00043,0.107349925
TEST_00044,0.18846275
TEST_00045,0.14148793
TEST_00046,0.16520691
TEST_00047,0.093794666
TEST_00048,0.08504998
TEST_00049,0.093246214
TEST_00050,0.21355091
TEST_00051,0.15968779
TEST_00052,0.16710328
TEST_00053,0.1693586
TEST_00054,0.29039595
TEST_00055,0.16135654
TEST_00056,0.1440297
TEST_00057,0.17470835
TEST_00058,0.10611524
TEST_00059,0.28164506
TEST_00060,0.18600225
TEST_00061,0.15342325
TEST_00062,0.16991948
TEST_00063,0.14681356
TEST_00064,0.15090197
TEST_00065,0.102138124
TEST_00066,0.097342916
TEST_00067,0.24855076
TEST_00068,0.19865625
TEST_00069,0.10258569
TEST_00070,0.15384202
TEST_00071,0.09606551
TEST_00072,0.14391297
TEST_00073,0.11561128
TEST_00074,0.17059882
TEST_00075,0.07005486
TEST_00076,0.06747834
TEST_00077,0.12092478
TEST_00078,0.05224306
TEST_00079,0.099632405
TEST_00080,0.06439331
TEST_00081,0.11097667
TEST_00082,0.14346854
TEST_00083,0.06739148
TEST_00084,0.13110931
TEST_00085,0.08764017
TEST_00086,0.16277787
TEST_00087,0.13393146
TEST_00088,0.11527072
TEST_00089,0.09584482
TEST_00090,0.07612872
TEST_00091,0.1085771
TEST_00092,0.17818174
TEST_00093,0.087410785
TEST_00094,0.119770214
TEST_00095,0.1483052
TEST_00096,0.14540103
TEST_00097,0.17132702
TEST_00098,0.12035647
TEST_00099,0.12779611
TEST_00100,0.06732257
TEST_00101,0.1395129
TEST_00102,0.16990441
TEST_00103,0.14212589
TEST_00104,0.07676093
TEST_00105,0.19303851
TEST_00106,0.11552522
TEST_00107,0.17186062
TEST_00108,0.08475277
TEST_00109,0.13062233
TEST_00110,0.14270346
TEST_00111,0.17157987
TEST_00112,0.059976753
TEST_00113,0.27067378
TEST_00114,0.08263099
TEST_00115,0.1652728
TEST_00116,0.17866446
TEST_00117,0.10880725
TEST_00118,0.18155903
TEST_00119,0.13610713
TEST_00120,0.14704487
TEST_00121,0.12438772
TEST_00122,0.15158418
TEST_00123,0.08543691
TEST_00124,0.096753314
TEST_00125,0.11605566
TEST_00126,0.07451366
TEST_00127,0.09185305
TEST_00128,0.10966652
TEST_00129,0.25584987
TEST_00130,0.16269186
TEST_00131,0.15876913
TEST_00132,0.21063568
TEST_00133,0.19448635
TEST_00134,0.124040075
TEST_00135,0.15116912
TEST_00136,0.09416712
TEST_00137,0.14716992
TEST_00138,0.14410518
TEST_00139,0.07177433
TEST_00140,0.23342401
TEST_00141,0.05700815
TEST_00142,0.16977538
TEST_00143,0.17413367
TEST_00144,0.15582688
TEST_00145,0.14245977
TEST_00146,0.088090055
TEST_00147,0.18481117
TEST_00148,0.20380014
TEST_00149,0.07886954
TEST_00150,0.11461051
TEST_00151,0.10083205
TEST_00152,0.12594567
TEST_00153,0.13590692
TEST_00154,0.09347356
TEST_00155,0.0959732
TEST_00156,0.15413652
TEST_00157,0.15259986
TEST_00158,0.15493636
TEST_00159,0.13415484
TEST_00160,0.12857392
TEST_00161,0.13916971
TEST_00162,0.15857363
TEST_00163,0.07577608
TEST_00164,0.116150856
TEST_00165,0.14996615
TEST_00166,0.107391536
TEST_00167,0.10693662
TEST_00168,0.13179456
TEST_00169,0.11538386
TEST_00170,0.13783823
TEST_00171,0.17162521
TEST_00172,0.13909231
TEST_00173,0.100235425
TEST_00174,0.087513044
TEST_00175,0.119518384
TEST_00176,0.11073261
TEST_00177,0.09667764
TEST_00178,0.16004013
TEST_00179,0.14979957
TEST_00180,0.15461701
TEST_00181,0.12712069
TEST_00182,0.020570861
TEST_00183,0.098195344
TEST_00184,0.073188685
TEST_00185,0.09387245
TEST_00186,0.15452152
TEST_00187,0.103697464
TEST_00188,0.14688635
TEST_00189,0.11638343
TEST_00190,0.168124
TEST_00191,0.07068764
TEST_00192,0.11117201
TEST_00193,0.07590392
TEST_00194,0.10807049
TEST_00195,0.13228571
TEST_00196,0.1448153
TEST_00197,0.08201195
TEST_00198,0.1826853
TEST_00199,0.15129426
TEST_00200,0.15238188
TEST_00201,0.16006549
TEST_00202,0.11473201
TEST_00203,0.15663005
TEST_00204,0.11423326
TEST_00205,0.26152384
TEST_00206,0.09033321
TEST_00207,0.08250811
TEST_00208,0.076504506
TEST_00209,0.07156003
TEST_00210,0.096999265
TEST_00211,0.12280701
TEST_00212,0.17147598
TEST_00213,0.068006136
TEST_00214,0.16745728
TEST_00215,0.08957358
TEST_00216,0.086823255
TEST_00217,0.11604942
TEST_00218,0.18696256
TEST_00219,0.05325638
TEST_00220,0.06800529
TEST_00221,0.11470816
TEST_00222,0.109906666
TEST_00223,0.0658518
TEST_00224,0.11588744
TEST_00225,0.14327426
TEST_00226,0.124114834
TEST_00227,0.1551746
TEST_00228,0.05201761
TEST_00229,0.07977192
TEST_00230,0.13999578
TEST_00231,0.17548698
TEST_00232,0.049683362
TEST_00233,0.17799188
TEST_00234,0.14795943
TEST_00235,0.055816215
TEST_00236,0.13725926
TEST_00237,0.120934404
TEST_00238,0.180456
TEST_00239,0.12824595
TEST_00240,0.08683569
TEST_00241,0.081911646
TEST_00242,0.13495688
TEST_00243,0.11979495
TEST_00244,0.1833313
TEST_00245,0.076399505
TEST_00246,0.15866864
TEST_00247,0.115113474
TEST_00248,0.1659582
TEST_00249,0.14949504
TEST_00250,0.14437617
TEST_00251,0.1144974
TEST_00252,0.11547306
TEST_00253,0.06612843
TEST_00254,0.18787193
TEST_00255,0.15336871
TEST_00256,0.1492053
TEST_00257,0.10768391
TEST_00258,0.11373646
TEST_00259,0.10483703
TEST_00260,0.27270037
TEST_00261,0.14778692
TEST_00262,0.07307081
TEST_00263,0.11309
TEST_00264,0.042875666
TEST_00265,0.023426838
TEST_00266,0.08035325
TEST_00267,0.10222803
TEST_00268,0.284101
TEST_00269,0.144867
TEST_00270,0.14698572
TEST_00271,0.111646354
TEST_00272,0.14415947
TEST_00273,0.073447764
TEST_00274,0.16008982
TEST_00275,0.14839908
TEST_00276,0.15666981
TEST_00277,0.12664995
TEST_00278,0.13852054
TEST_00279,0.1126887
TEST_00280,0.102201626
TEST_00281,0.17698653
TEST_00282,0.20789005
TEST_00283,0.07645334
TEST_00284,0.14359465
TEST_00285,0.10466584
TEST_00286,0.08060218
TEST_00287,0.108927436
TEST_00288,0.09509976
TEST_00289,0.12083012
TEST_00290,0.05421984
TEST_00291,0.14103372
TEST_00292,0.16264558
TEST_00293,0.095150605
TEST_00294,0.094348915
TEST_00295,0.17753002
TEST_00296,0.095083386
TEST_00297,0.11719924
TEST_00298,0.07262151
TEST_00299,0.052932087
TEST_00300,0.15979491
TEST_00301,0.08375315
TEST_00302,0.11000321
TEST_00303,0.1771394
TEST_00304,0.13198735
TEST_00305,0.14805749
TEST_00306,0.057941366
TEST_00307,0.09755882
TEST_00308,0.13922718
TEST_00309,0.1699501
TEST_00310,0.13473845
TEST_00311,0.16175777
TEST_00312,0.0623073
TEST_00313,0.08602653
TEST_00314,0.16858214
TEST_00315,0.107371666
TEST_00316,0.13613002
TEST_00317,0.29119518
TEST_00318,0.10894648
TEST_00319,0.1183802
TEST_00320,0.1802856
TEST_00321,0.12492558
TEST_00322,0.17493114
TEST_00323,0.13358104
TEST_00324,0.053211797
TEST_00325,0.11219096
TEST_00326,0.15541255
TEST_00327,0.13436824
TEST_00328,0.12828869
TEST_00329,0.16458206
TEST_00330,0.06788648
TEST_00331,0.0572226
TEST_00332,0.12591735
TEST_00333,0.16285974
TEST_00334,0.09203015
TEST_00335,0.2679362
TEST_00336,0.1846294
TEST_00337,0.12834299
TEST_00338,0.07351415
TEST_00339,0.11871773
TEST_00340,0.2749913
TEST_00341,0.08064269
TEST_00342,0.093740165
TEST_00343,0.1441034
TEST_00344,0.14115006
TEST_00345,0.2046916
TEST_00346,0.2734862
TEST_00347,0.14305085
TEST_00348,0.07382202
TEST_00349,0.09656038
TEST_00350,0.10640657
TEST_00351,0.13841166
TEST_00352,0.14308076
TEST_00353,0.10243814
TEST_00354,0.16644138
TEST_00355,0.1274322
TEST_00356,0.13529424
TEST_00357,0.06049614
TEST_00358,0.14836264
TEST_00359,0.07711225
TEST_00360,0.12785734
TEST_00361,0.17077695
TEST_00362,0.13273798
TEST_00363,0.072847314
TEST_00364,0.11716831
TEST_00365,0.068563975
TEST_00366,0.09704244
TEST_00367,0.16732101
TEST_00368,0.17552468
TEST_00369,0.1602771
TEST_00370,0.10972007
TEST_00371,0.2818787
TEST_00372,0.10092264
TEST_00373,0.12104381
TEST_00374,0.11829886
