ID,전화해지여부
TEST_00000,0.0892679
TEST_00001,0.08263962
TEST_00002,0.1357374
TEST_00003,0.0
TEST_00004,0.07987675
TEST_00005,0.050592113
TEST_00006,0.08810115
TEST_00007,0.15054496
TEST_00008,0.060823254
TEST_00009,0.112449996
TEST_00010,4.0409445e-19
TEST_00011,0.23179148
TEST_00012,0.0
TEST_00013,0.13900459
TEST_00014,0.0
TEST_00015,0.12240945
TEST_00016,0.14606223
TEST_00017,0.08716908
TEST_00018,0.058355305
TEST_00019,0.033549864
TEST_00020,0.15425085
TEST_00021,1.9172828e-16
TEST_00022,0.13458231
TEST_00023,0.062128235
TEST_00024,0.08261933
TEST_00025,0.17477755
TEST_00026,0.0
TEST_00027,0.10287893
TEST_00028,0.13528988
TEST_00029,0.12372167
TEST_00030,0.12395989
TEST_00031,0.12379531
TEST_00032,0.18074788
TEST_00033,0.11481515
TEST_00034,0.057066813
TEST_00035,6.399764e-17
TEST_00036,0.10257513
TEST_00037,0.118365295
TEST_00038,0.0
TEST_00039,0.058592692
TEST_00040,0.07684703
TEST_00041,0.084527045
TEST_00042,0.14807035
TEST_00043,0.07324372
TEST_00044,0.16193883
TEST_00045,0.09600784
TEST_00046,0.13706522
TEST_00047,1.894671e-16
TEST_00048,0.052571848
TEST_00049,0.08022713
TEST_00050,0.123410664
TEST_00051,0.11764824
TEST_00052,0.11371971
TEST_00053,0.12620384
TEST_00054,0.23698121
TEST_00055,0.13908213
TEST_00056,0.11711862
TEST_00057,0.099190585
TEST_00058,0.06567884
TEST_00059,0.1745848
TEST_00060,0.1376127
TEST_00061,0.13257329
TEST_00062,0.113576874
TEST_00063,0.09804128
TEST_00064,0.11600919
TEST_00065,0.080371454
TEST_00066,9.4395965e-26
TEST_00067,0.14187732
TEST_00068,0.14657927
TEST_00069,5.1493092e-30
TEST_00070,0.09514932
TEST_00071,0.05018088
TEST_00072,2.0390653e-12
TEST_00073,0.107956626
TEST_00074,9.951547e-18
TEST_00075,7.3231226e-35
TEST_00076,0.034091756
TEST_00077,3.4975573e-13
TEST_00078,0.0
TEST_00079,0.07410184
TEST_00080,0.055811483
TEST_00081,0.06278626
TEST_00082,0.1267585
TEST_00083,5.7840026e-16
TEST_00084,0.0684528
TEST_00085,0.0
TEST_00086,0.108242474
TEST_00087,0.12803462
TEST_00088,0.07209001
TEST_00089,1.1668266e-18
TEST_00090,0.04849917
TEST_00091,2.1313954e-26
TEST_00092,0.121338725
TEST_00093,0.046004593
TEST_00094,0.10388086
TEST_00095,1.1350824e-15
TEST_00096,0.10582853
TEST_00097,0.13888249
TEST_00098,0.089139305
TEST_00099,0.07682016
TEST_00100,0.0
TEST_00101,0.08075297
TEST_00102,0.1278051
TEST_00103,0.10848774
TEST_00104,1.5928677e-19
TEST_00105,0.12947202
TEST_00106,4.944214e-13
TEST_00107,0.13237791
TEST_00108,0.058131177
TEST_00109,0.06880319
TEST_00110,3.5319187e-14
TEST_00111,0.12364032
TEST_00112,0.0
TEST_00113,0.2509484
TEST_00114,0.044051006
TEST_00115,0.13232514
TEST_00116,0.17887229
TEST_00117,0.092169985
TEST_00118,0.1390819
TEST_00119,0.115919724
TEST_00120,0.14211574
TEST_00121,0.13739516
TEST_00122,1.9685525e-17
TEST_00123,0.08402442
TEST_00124,6.158092e-17
TEST_00125,0.067211814
TEST_00126,2.6523225e-33
TEST_00127,0.07645209
TEST_00128,0.11910144
TEST_00129,0.15932298
TEST_00130,0.080338866
TEST_00131,2.8792802e-16
TEST_00132,0.16726342
TEST_00133,0.13279422
TEST_00134,0.16199493
TEST_00135,0.105401695
TEST_00136,0.066064075
TEST_00137,0.08973724
TEST_00138,8.069295e-15
TEST_00139,4.652708e-14
TEST_00140,0.12504706
TEST_00141,3.152766e-13
TEST_00142,0.14529413
TEST_00143,0.14962211
TEST_00144,0.1115572
TEST_00145,0.1254529
TEST_00146,0.060184073
TEST_00147,0.14291951
TEST_00148,0.1287666
TEST_00149,0.065719634
TEST_00150,4.156012e-24
TEST_00151,0.07753624
TEST_00152,0.09056032
TEST_00153,0.14012651
TEST_00154,6.169609e-26
TEST_00155,0.069923446
TEST_00156,1.3222718e-28
TEST_00157,0.11323761
TEST_00158,0.14593022
TEST_00159,0.13566656
TEST_00160,0.10120428
TEST_00161,0.115609035
TEST_00162,0.11281603
TEST_00163,0.03986066
TEST_00164,0.085216485
TEST_00165,0.08528284
TEST_00166,2.3605009e-14
TEST_00167,8.894073e-18
TEST_00168,2.1754993e-18
TEST_00169,0.13975894
TEST_00170,0.14077765
TEST_00171,0.10305386
TEST_00172,0.102000915
TEST_00173,0.07934465
TEST_00174,1.7880683e-13
TEST_00175,1.9596544e-14
TEST_00176,3.952615e-09
TEST_00177,0.062572986
TEST_00178,0.1576701
