ID,전화해지여부
TEST_00000,0.09284162
TEST_00001,0.10975546
TEST_00002,0.10847495
TEST_00003,0.22833799
TEST_00004,0.118218325
TEST_00005,0.060736593
TEST_00006,0.087708965
TEST_00007,0.18297258
TEST_00008,0.058086094
TEST_00009,0.14714682
TEST_00010,0.08229944
TEST_00011,0.27463442
TEST_00012,0.081108466
TEST_00013,0.124456264
TEST_00014,0.04112681
TEST_00015,0.1150271
TEST_00016,0.14681906
TEST_00017,0.09058756
TEST_00018,0.078812085
TEST_00019,0.050415725
TEST_00020,0.131914
TEST_00021,0.08567113
TEST_00022,0.14024214
TEST_00023,0.061050683
TEST_00024,0.10491778
TEST_00025,0.3148291
TEST_00026,0.061173633
TEST_00027,0.15420194
TEST_00028,0.13294606
TEST_00029,0.1446577
TEST_00030,0.12711528
TEST_00031,0.14886218
TEST_00032,0.2065754
TEST_00033,0.09366545
TEST_00034,0.07780698
TEST_00035,0.058680058
TEST_00036,0.11152412
TEST_00037,0.12302393
TEST_00038,0.02892176
TEST_00039,0.0655105
TEST_00040,0.13627082
TEST_00041,0.09102808
TEST_00042,0.11773892
TEST_00043,0.07964812
TEST_00044,0.16392177
TEST_00045,0.12222855
TEST_00046,0.12809816
TEST_00047,0.0747853
TEST_00048,0.06320823
TEST_00049,0.064637214
TEST_00050,0.16160542
TEST_00051,0.13267207
TEST_00052,0.11253224
TEST_00053,0.14163575
TEST_00054,0.35012117
TEST_00055,0.12838793
TEST_00056,0.15022093
TEST_00057,0.15660922
TEST_00058,0.11744556
TEST_00059,0.31486583
TEST_00060,0.16245066
TEST_00061,0.11660772
TEST_00062,0.12637438
TEST_00063,0.113252
TEST_00064,0.1462351
TEST_00065,0.08693036
TEST_00066,0.07394889
TEST_00067,0.17665267
TEST_00068,0.16569693
TEST_00069,0.0290041
TEST_00070,0.13714647
TEST_00071,0.05879343
TEST_00072,0.08249326
TEST_00073,0.07781673
TEST_00074,0.110294454
TEST_00075,0.112512305
TEST_00076,0.056979887
TEST_00077,0.07133795
TEST_00078,0.048007425
TEST_00079,0.07726694
TEST_00080,0.069158725
TEST_00081,0.093692385
TEST_00082,0.14653526
TEST_00083,0.04902752
TEST_00084,0.09197313
TEST_00085,0.08421616
TEST_00086,0.15284736
TEST_00087,0.14072597
